arch_seed,block,embed_params,epochs_run,failed,frozen_quantum_params,head_params,input_dim,logical_two_qubit,model,q_unchanged,quantum_params,representation,runtime_s,swap_est,test_auroc,test_balanced_accuracy,test_brier,test_classification_error,test_ece,test_logloss,total_params,total_trainable_params,train_size,transpiled_depth,transpiled_two_qubit,val_auroc,val_balanced_accuracy,val_brier,val_classification_error,val_ece,val_logloss
5004,0,36,18,False,0,5,8,4,M4_entangled,False,12,R2_pca8,10.94,1,0.5837483949666153,0.5613764766307139,0.2438992804249401,0.4312,0.02141579638314184,0.680906962024707,53,53,2000,17,12,0.5953760994478685,0.5744253980482794,0.24209728257219487,0.4185,0.01431202695667893,0.6771362832042517
5004,0,36,19,False,12,5,8,4,M5_frozen,True,12,R2_pca8,10.44,1,0.5808938430919364,0.5590555983564458,0.24423937436166912,0.4332,0.021472276698503153,0.6815949385750726,53,41,2000,17,12,0.595279797444787,0.5730290190035953,0.24216332738755467,0.4195,0.01338069866902971,0.6772893278347788
,0,,,False,,,8,,M0_class_prior,,,R2_pca8,0.0,,0.5,0.5,0.24921599999999994,0.472,1.1102230246251565e-16,0.691578359988849,0,0,5000,,,0.5,0.5,0.24921599999999994,0.472,2.220446049250313e-16,0.6915783599888489
,0,,,False,,,8,,M1_logreg,,,R2_pca8,0.01,,0.530908448895737,0.5251701335387776,0.24881816130874632,0.4612,0.009089473017490114,0.690819911877817,9,9,5000,,,0.5577440854519773,0.5442026194144838,0.24668181133799622,0.443,0.029039419881809487,0.6865208898853475
,0,,,False,,,8,,M2_mlp,,,R2_pca8,3.51,,0.5844038906009245,0.5596141499743195,0.24370199143706994,0.4342,0.022267748334208814,0.6804237093237844,41,41,5000,,,0.6086447098099641,0.5841599255264509,0.23999552241369668,0.41,0.02355701835853455,0.6728327010064732
5000,0,36,21,False,0,5,8,0,M3_product,False,12,R2_pca8,30.13,0,0.5927298407806882,0.5623587570621469,0.24271650889771126,0.4276,0.014529767020889053,0.6785341165321823,53,53,5000,4,0,0.6055690645865434,0.5765841679506933,0.24058226787538672,0.4145,0.014066022399532831,0.6740337156411538
5000,0,36,40,False,0,5,8,8,M4_entangled,False,12,R2_pca8,67.32,5,0.5931805341551104,0.5704352850539292,0.24256384882170023,0.4232,0.013328508277206197,0.6781147494178933,53,53,5000,38,32,0.6099768875192604,0.5706696199280945,0.2396608520213797,0.423,0.014605582949860725,0.6720108917433185
5000,0,36,21,False,12,5,8,8,M5_frozen,True,12,R2_pca8,28.25,5,0.5958697675911659,0.5667725988700565,0.24222606991336096,0.4232,0.0099202091361198,0.677464623114975,53,41,5000,38,32,0.607352657935285,0.569385593220339,0.2401985910115351,0.4205,0.015517854568455534,0.6731770269250482
5001,0,36,22,False,0,5,8,0,M3_product,False,12,R2_pca8,30.86,0,0.5913678094504367,0.5640536723163841,0.24282671514266768,0.4274,0.00890825016773308,0.6786884308700972,53,53,5000,4,0,0.6041626540832049,0.5621308423215203,0.24068790783430186,0.43,0.020861351852544344,0.6741269727011713
5001,0,36,13,False,0,5,8,4,M4_entangled,False,12,R2_pca8,20.82,1,0.5674122046738572,0.5528601694915254,0.2457710105843388,0.4354,0.021087249067087702,0.6846717746700606,53,53,5000,18,12,0.5906853893810992,0.5618178608115049,0.24323109005720583,0.426,0.019554859818997145,0.6795184308493124
